渝C,潼南,Y,渝
渝C,铜梁,Y,渝
渝C,壁山,Y,渝
渝C,大足,Y,渝
渝C,綦江,Y,渝
渝C,荣昌,Y,渝
渝F,万州,Y,渝
渝F,梁平,Y,渝
渝F,城口,Y,渝
渝F,巫山,Y,渝
渝F,巫溪,Y,渝
渝F,忠县,Y,渝
渝F,开县,Y,渝
渝F,奉节,Y,渝
渝F,云阳,Y,渝
渝G,涪陵,Y,渝
渝G,南川市,Y,渝
渝G,垫江,Y,渝
渝G,丰都,Y,渝
渝G,武隆,Y,渝
渝H,黔江,Y,渝
渝H,石柱,Y,渝
渝H,秀山,Y,渝
渝H,酉阳,Y,渝
渝H,彭水,Y,渝
豫A,郑州市,Y,豫
豫B,开封市,Y,豫
豫C,洛阳市,Y,豫
豫D,平顶山市,Y,豫
豫E,安阳市,Y,豫
豫F,鹤壁市,Y,豫
豫G,新乡市,Y,豫
豫H,焦作市,Y,豫
豫J,濮阳市,Y,豫
豫K,许昌市,Y,豫
豫L,漯河市,Y,豫
豫M,三门峡市,Y,豫
豫N,商丘行署,Y,豫
豫P,周口行署,Y,豫
豫Q,驻马店行署,Y,豫
豫R,南阳行署,Y,豫
豫S,信阳行署,Y,豫
粤A,广州市,Y,粤
粤B,深圳市,Y,粤
粤C,珠海市,Y,粤
粤D,汕头市,Y,粤
粤E,佛山市,Y,粤
粤F,韶关市,Y,粤
粤G,湛江市,Y,粤
粤H,肇庆市,Y,粤
粤J,江门市,Y,粤
粤K,茂名市,Y,粤
粤L,惠州市,Y,粤
粤M,梅州市,Y,粤
粤N,汕尾市,Y,粤
粤P,河源市,Y,粤
粤Q,阳江市,Y,粤
粤R,清远市,Y,粤
粤S,东莞市,Y,粤
粤T,中山市,Y,粤
粤U,潮州市,Y,粤
粤V,揭阳市,Y,粤
云A,昆明市,Y,云
云B,东川市,Y,云
云C,昭通行署,Y,云
云D,曲靖行署,Y,云
云E,楚雄彝族,Y,云
云F,玉溪行署,Y,云
云G,红河哈尼族,Y,云
云H,文山壮族苗,Y,云
云J,思茅行署,Y,云
云K,西双版纳,Y,云
云L,大理白族,Y,云
云M,保山行署,Y,云
云N,德宏傣族,Y,云
云P,丽江行署,Y,云
云Q,怒江傈族,Y,云
云R,迪庆藏族,Y,云
云S,临沧行署,Y,云
浙A,杭州市,Z,浙
浙B,宁波市,Z,浙
浙C,温州市,Z,浙
浙D,绍兴市,Z,浙
浙E,湖州市,Z,浙
浙F,嘉兴市,Z,浙
浙G,金华市,Z,浙
浙H,巨州市,Z,浙
浙J,台州行署,Z,浙
浙K,丽水行署,Z,浙
浙L,舟山市,Z,浙
