P1000|变速器换挡杆控制模块 - 缺陷
P1636|发动机冷却风扇电机控制模块 - 故障
P1641|发动机控制模块(ECM), 第1和2排 - 节气门位置(TP)信号
P1641|CAN通信线路/燃油喷射控制模块 (1/2) - 通信错误
P1642|发动机控制模块(ECM) - 不正确的编程
P1643|发动机控制模块(ECM) - 不正确编码/数据总线
P1644|变速器控制模块(TCU) - 电源电压低
P1661|喷油器 - 电压高/低
P1662|喷油器 - 电压高/低
P1663|燃油压力控制电磁阀 - 缺陷
P1664|辅助加热器控制模块/发动机控制模块(ECM) - 电子故障
P1666|缸切断电磁阀, 第1或2排 - 没有开放
P1666|发动机控制模块 - 发动机关机控制
P1681|发动机控制模块(ECM), 碰撞信号 - 合理性
P1681|CAN数据总线, 安全气囊控制模块 - 故障
P1698|CAN数据总线, 空调紧急关机 - 故障
P1700|变速器换挡控制 - 故障
P1700|变速器换挡控制 - 故障
P1701|变速器换挡控制阀门 - 电子故障
P1711|进气歧管空气控制电磁阀 - 故障
P1740|发动机控制模块(ECM), 负荷信号 - 合理性
P1741|节气门位置传感器, 负荷信号 - 合理性
P1747|CAN数据总线, 变速器控制模块(TCU)/仪表板 - 故障
P1750|诊断模块, 引脚30 - 电源电压低
P1750|变速器换挡杆控制模块 - 电源电压低
P1817|倒车灯 - 开路/短路
P1832|变速器换挡杆控制模块 - 短路
P1833|变速器换挡杆控制模块 - 开路
P1856|变速器换挡杆的认可 - 故障
P1860|CAN数据总线, 车速传感器(VSS)信号, 后桥 - 故障
P1861|CAN数据总线, 车速传感器(VSS)信号, 后桥 - 故障
P1875|CAN数据总线, 变速器换档杆控制模块 - 故障
P1876|CAN数据总线, 车速传感器(VSS)信号 - 故障
P1904|CAN数据总线, 变速器控制模块(TCU)/仪表板 - 故障
P1906|CAN数据总线, 刹车灯开关 - 故障
P1910|变速器换挡杆控制模块 - 电源电压高
P1911|变速器换挡杆照明 - 开路
P1912|变速器换挡杆控制模块, 挡位开关 - 难以置信信号
P1925|变速器换挡杆控制模块, 防盗信号 - 合理性
P1999|暖怠速, 高转速 - 故障
