P1000|车载故障诊断系统就绪测试没有完成
P1530|空调压缩机离合器 - 电路故障
P1537|进气歧管通路控制模块 - 卡在开启(第1排)
P1538|进气歧管通路控制模块 - 卡在开启(第2排)
P1539|空调压缩机离合器 - 电路故障
P1548|空气滤清器 - 堵塞
P1549|进气歧管通讯控制电路- 故障(第1排)
P1550|动力转向压力传感器 - 超出自检范围
P1565|定速巡航系统
P1566|定速巡航系统
P1567|定速巡航系统
P1568|定速巡航系统
P1572|刹车踏板位置开关 - 电路间歇
P1575|节气门/油门踏板位置传感器 - 超出自检范围
P1582|发动机控制模块(ECM) - 节气门数据被存储
P1605|不失效存储器(KAM)检测失败
P1609|发动机控制模块 - 内部故障
P1625|可变负荷控制模块, 发动机冷却风扇电机电源 - 电路故障
P1626|可变负荷控制模块, 空调系统电源 - 电路故障
P1633|不间断电源供应 - 电压过低
P1635|轮胎/车轴比率 - 超出可接受的范围
P1636|发动机控制模块(ECM) - 电感签名芯片通讯错误
P1639|发动机控制模块(ECM) - 车辆识别号码错误, 没有编程
P1640|诊断故障代码被存储在另一个模块
P1641|燃油泵主电路故障
P1646|发动机控制模块(ECM) - 线性氧传感器控制(第1排)
P1647|发动机控制模块(ECM) - 线性氧传感器控制(第2排)
P164B|氧传感器控制 - 性能(第2排)
P1650|动力转向压力开关 - 超出自检范围
P1651|动力转向压力开关 - 输入
P1674|控制模块软件出错
P1700|变速器系统 - 故障
P1700|变速器系统 - 故障
P1701|变速器系统 - 倒车结合错误
P1702|变速器档位传感器 - 电路间歇
P1703|刹车踏板位置开关 - 超出自检范围
P1704|变速器档位传感器 - 故障
P1705|自检时变速器档位传感器没有显示在P(驻车)档/N(空)档
P1709|驻车档/空档位置开关/离合器踏板位置开关 - 超出自检范围
P1710|变速器液温度传感器 - 中间范围故障
P1711|变速器液温度传感器 - 超出自检范围
P1713|变速器液温度传感器 - 低范围位故障
P1714|换档电磁阀A - 电感故障
P1715|换档电磁阀B - 电感故障
P1716|换档电磁阀C - 电感故障
P1717|换档电磁阀D - 电感故障
P1718|变速器液温度传感器 - 高范围故障
P1719|超速传动(O/D)速度传感器 - 电路故障
P1720|车速传感器(VSS) - 电路故障
P1728|液力变矩器离合器 - 打滑故障
P1729|4X4低档开关故障
P1740|液力变矩器离合器电磁阀 - 电路故障
P1741|液力变矩器离合器控制错误
P1742|液力变矩器离合器电磁阀
P1743|液力变矩器离合器电磁阀
P1744|液力变矩器离合器系统 - 故障
P1746|变速器液压力控制电磁阀 - 电路故障
P1747|变速器液压力控制电磁阀 - 电路故障
P1748|变速器液压力控制电磁阀 - 故障
P1749|变速器液压力控制电磁阀 - 故障
P1751|换档电磁阀A性能
P1754|滑行离合器电磁阀- 电路故障
P1756|换档电磁阀B性能
P1760|变速器液压力控制电磁阀 - 电路短路
P1761|换档电磁阀C - 性能
P1762|超速传动单元 - 失败/关闭
P1765|正时电磁阀, 减档3-2 - 电路故障
P1767|液力变矩器离合器 - 电路故障
P1780|变速器控制开关(TCS)超出自检范围
P1781|4X4低档开关 - 超出自检范围
P1783|变速器液温度传感器 - 过热状态
P1784|变速器机械故障 - 1档和倒档
P1785|变速器机械故障 - 1档和2档
P1786|3-2降档错误
P1787|2-1降档错误
P1788|变速器换挡控制阀, 3-2降档/降档滑行 - 开路
P1789|变速器换挡控制阀, 3-2降档/降档滑行 - 短路
P1792|关闭的节气门位置开关 - 电路故障
P1794|电池电压电路故障
P1795|排气压力传感器 - 电路故障
P1797|驻车档/空档位置开关/离合器踏板位置开关
P1900|输出轴转速传感器 - 电路间歇
P1901|涡轴转速传感器 - 电路间歇
P1910|倒车灯 - 电路故障
