P100A	燃油分供管/系统压力过低
P1465 加热催化转换器电池温度传感器1/2 - 难以置信信号
P1466 加热催化转换器电池温度传感器 - 信号电压故障
P1467 加热催化转换器的电池温度传感器 - 电压故障
P1470 蒸发排放(EVAP)炭罐清除阀 - 发动机控制模块(ECM)输出阶段
P1471 燃油系统泄漏检测泵 - 开路
P1472 油箱泄漏诊断模块 - 电路故障
P1473 油箱泄漏诊断模块 - 难以置信信号
P1475 泄漏诊断泵磁簧开关没有关闭
P1476 泄漏诊断泵 - 管路夹住
P1477 泄漏诊断泵磁簧开关没有打开
P1497 进气空气泄漏
P1500	怠速控制执行器 - 卡在开启
P1501	怠速控制执行器 - 卡在关闭
P1502	怠速控制执行器关闭电磁阀 - 信号高
P1503	怠速控制执行器关闭电磁阀 - 信号低
P1504	怠速控制执行器关闭电磁阀 - 电路开路
P1506	怠速控制执行器开启电磁阀 - 信号高
P1507	怠速控制执行器开启电磁阀 - 信号低
P1508	怠速控制执行器开启电磁阀 - 电路开路
P1509	怠速控制执行器 - 开启故障
P1510	怠速控制执行器 - 卡住
P1511	进气歧管空气控制电磁阀 - 电路故障
P1512	进气歧管空气控制电磁阀 - 信号低
P1513	进气歧管空气控制电磁阀 - 信号高
P1515	发动机熄火定时器 - 难以置信信号
P1516	加热器控制节温器电路 - 范围/性能
P1519	进气凸轮轴控制系统 - 故障
P151F	CAN数据总线, 车速传感器(VSS) - 超时
P1520	排气凸轮轴控制系统, 结束位置 - 合理性
P1523	排气凸轮轴控制系统, 凸轮轴位置 - 合理性(第1排)
P1524	凸轮轴位置执行器A - 信号高
P1525	进口凸轮轴控制系统 - 发动机控制模块(ECM)输出阶段
P1529	凸轮轴位置执行器, 排气凸轮轴 - 发动机控制模块(ECM)输出阶段
P152A	车速传感器(VSS) - 相对于参考值, 速度过低
P152B	车速传感器(VSS) - 相对于参考值, 速度过低
P152C	怠速空气控制执行器 - 不正确信号
P152D	怠速空气控制执行器 - 信号故障
P152E	怠速空气控制执行器 - 信号相关性
P152F	怠速空气控制执行器 - 复位错误
P1530	B凸轮轴位置执行器 - 信号高
P1531	B凸轮轴位置执行器 - 电路开路
P153E	怠速空气控制执行器 - 信号相关性
P153F	怠速空气控制执行器 - 复位错误
P1542	加速踏板位置传感器 - 电路故障
P1543	节气门位置传感器1 - 低输入
P1544	节气门位置传感器1 - 高输入
P1545	节气门位置传感器1 - 难以置信信号
P1546	发动机控制模块(ECM) - 内部故障, 总和检查错误
P1547	发动机控制模块(ECM) - CAN数据总线信号没有及时收到
P154C	节气门阀执行器 - 不正确信号
P154D	节气门阀执行器 - 信号故障
P154E	节气门阀执行器 - 信号故障
P154F	节气门阀执行器 - 复位错误
P1550	怠速控制执行器 - 关闭故障
P1551	发动机控制模块(ECM) - 内部故障, 超时
P1552	A凸轮轴位置执行器 - 电路开路
P1553	发动机位置系统B, 第1排 - 性能
P1554	发动机位置系统A, 第1排 - 性能
P1556	空调压缩机 - 信号低
P1558	节气门阀执行器 - 电路故障
P1560	B凸轮轴位置执行器 - 电路开路
P1561	怠速空气控制系统, 第1排 - 发动机冷启动后转速太低
P1562	怠速空气控制系统, 第1排 - 发动机冷启动后转速太高
P1564	发动机控制模块(ECM) - 程序错误
P1565	多功能方向盘 - 界面故障
P156A	节气门阀适应 - 信号监视故障
P156B	节气门阀适应 - 适应失败
P156C	节气门阀适应 - 控制偏离
P156D	节气门阀 - 启用线路低输入
P156E	节气门阀 - 启用线路高输入
P156F	节气门阀 - 电路开路
P1570	发动机控制模块(ECM), 传感器电源电路A - 低输出
P1571	发动机控制模块(ECM), 传感器电源电路A - 高输出
P1572	发动机控制模块(ECM), 传感器电源电路A - 信号故障
P1573	发动机控制模块(ECM), 传感器电源电路B - 低输出
P1574	发动机控制模块(ECM), 传感器电源电路B - 高输出
P1575	发动机控制模块(ECM), 传感器电源电路B - 信号故障
P1580	节气门阀执行器 - 机械故障
P1585	随机/多个气缸 - 检测到失火
P1589	爆震传感器 - 电路故障
P158A	怠速空气控制执行器 - 故障安全模式
P158B	怠速空气控制执行器 - 故障诊断错误
P158C	怠速空气控制执行器 - 适应失败
P158D	怠速空气控制执行器 - 控制位置错误
P1590	节气门位置传感器 2 - 低输入
P1591	节气门位置传感器 2 - 高输入
P1592	节气门位置传感器 2 - 难以置信信号
P1593	进气歧管空气控制电磁阀 - 发动机控制模块(ECM)输出阶段
P1599	CAN数据总线, 变速器控制模块 - 超时
P159D	怠速空气控制执行器 - 控制位置错误
P15B0	发动机控制模块(ECM) - 点火开关电源电压 - 高
P15B1	发动机控制模块(ECM) - 点火开关电源电压 - 低
P1600	发动机控制模块(ECM) - 随机存取存储器(RAM)错误
P1602	发动机控制模块(ECM)自检 - 故障
P1603	发动机控制模块(ECM)自检 - 扭矩监视
P1605	发动机控制模块(ECM) - 转矩限制请求
P1606	发动机控制模块(ECM), 存储器故障 - 内部故障
P1607	CAN数据总线版本
P1608	发动机控制模块(ECM) - 串行通讯错误
P1609	电压调节 - 串行通讯错误
P160C	电压调节 - 系统电压高
P160D	电压调节 - 系统电压低
P160E	电压调节 - 电路故障
P1610	加热催化转换器加热器控制模块 - 通讯故障
P1611	变速器控制模块 - 通讯故障
P1612	仪表盘 - 通讯故障
P1613	CAN数据总线, 自动稳定控制系统
P1615	发动机控制模块(ECM), 微处理器故障 - SPI-总线失败
P1616	发动机控制模块(ECM), 程序存储器 - 存储器总和检查错误
P1617	发动机控制模块(ECM), 控制器 - 故障
P1618	发动机控制模块(ECM)自检 - 模拟/数字转换监视
P1619	发动机冷却液节温器控制电路 - 信号低
P161A	油箱通风阀门 - 高输入
P161B	油箱通风阀门 - 低输入
P161C	油箱通风阀门 - 电路开路
P1620	发动机冷却液节温器控制电路 - 信号高
P1622	发动机冷却液温度传感器, 发动机控制模块(ECM)控制的冷却系统 - ECM输出阶段
P1623	加速踏板位置传感器 - 电路故障
P1624	加速踏板位置传感器1 - 电路故障
P1625	加速踏板位置传感器2 - 电路故障
P1628	节气门阀执行器 - 回位弹簧测试故障
P1629	节气门阀执行器 - 回位弹簧测试故障
P162D	节气门位置控制 - 节气门永久卡住
P1631	节气门阀执行器 - 回位弹簧测试故障
P1632	节气门阀 - 适应失败
P1633	节气门阀适应 - 跛行回家位置不正确
P1634	节气门阀适应 - 回位弹簧测试失败
P1635	节气门阀适应 - 机械停止没有适应
P1636	节气门阀控制电路 - 电路故障
P1637	节气门位置控制 - 控制偏差
P1638	节气门位置控制 - 节气门暂时卡住
P1639	节气门位置控制 - 节气门永久卡住
P163A	发动机控制模块(ECM) - 内部温度太低
P163B	节气门阀适应 - 失败
P163C	发动机控制模块 - 不正确电压
P163D	发动机控制模块 - 不正确电压
P163E	发动机控制模块 - 通信错误
P163F	发动机控制模块 - 模拟/数字转换监控 - 难以置信信号
P1640	发动机控制模块 - 随机存取存储器(RAM) / 只读存取器(ROM)故障
P1643	节气门阀适应 - 难以置信信号
P1644	节气门阀适应 - 机械停止没有适应(第1排)
P164A	发动机控制继电器 - 电压太低
P164A	发动机控制继电器 - 电压太高
P164C	加速踏板位置传感器 1 - 电路故障
P1653	变速器扭矩 - 信号不正确
P1654	CAN数据总线信号 - 超时
P165F	加热氧传感器 1 - 信号故障
P1663	防盗控制模块 - 不正确的编程
P1670	变速器控制 - 错误的信号
P1675	节气门阀执行器, 启动测试 - 自适应学习没有完成
P1679	电子节气门系统, 监视器等级2/3 - 检测到低发动机扭矩
P167E	发动机控制模块(ECM), 参考电压太高
P167F	发动机控制模块(ECM), 参考电压太低
P1680	电子节气门控制监视器 - 处理器故障
P1681	电子节气门控制监视器 - 发动机转速计算错误
P1682	电子节气门系统, 监视器等级2/3 - 怠速故障
P1683	电子节气门系统, 监视器等级2/3 - 怠速故障
P1684	电子节气门系统, 监视器等级2/3 - 离合器扭矩最低错误
P1685	电子节气门系统, 监视器等级2/3 - 离合器扭矩最高错误
P1686	电子节气门控制监视器 - 踏板位置传感器, 故障诊断错误
P1687	电子节气门系统, 监视器等级2/3 - 节气门电机位置传感器故障诊断错误
P1688	电子节气门控制监视器 - 空气流量传感器计算
P1689	电子节气门系统, 监视器等级2/3 - 不正确的发动机扭矩
P168D	节气门阀执行器 - 跛行回家位置不正确
P1690	故障指示灯(MIL) - 电路故障
P1691	电子节气门系统, 监视器等级2/3 - 节气门电机控制故障
P1692	电子节气门系统, 监视器等级2/3 - 节气门电机控制/喷油器关闭
P1693	电子节气门系统, 监视器等级2/3- 节气门电机控制/喷油器关闭
P1694	节气门阀执行器, 启动测试 - 回位弹簧测试和跛行回家位置失败
P1696	发动机控制继电器, 控制电路 - 低输入
P1697	发动机控制继电器, 控制电路 - 高输入
P1698	变速器控制模块 - 控制错误
P1699	变速器控制模块 - 总和检查错误
P169A	节气门阀执行器 - 跛行回家位置不正确
P16A0	发动机控制模块(ECM) - 内部故障, 总和检查错误
P16A1	发动机控制模块(ECM) - 内部故障, 总和检查错误
P16A2	发动机控制模块(ECM) - 内部故障, 总和检查错误
P16A3	发动机控制模块(ECM) - 内部故障, 总和检查错误
P16A4	发动机控制模块(ECM) - 内部故障, 爆震传感器总线
P16A5	发动机控制模块(ECM) - 内部故障, 输出阶段总线
P16A6	发动机控制模块(ECM)自检 - 定速巡航监视故障
P16A7	发动机控制模块(ECM)自检 - 空气流量传感器监视故障
P16A8	发动机控制模块(ECM)自检 - 节气门位置监视故障
P16A9	发动机控制模块(ECM)自检 - 车辆速度信号
P16B0	发动机控制模块(ECM)自检 - 加速踏板位置监视故障
P16B1	发动机控制模块(ECM)自检 - 怠速空气控制系统故障
P16B2	发动机控制模块(ECM)自检 - 怠速空气控制系统故障
P16B3	发动机控制模块(ECM)自检 - 发动机转矩监视故障
P16B4	发动机控制模块(ECM)自检 - 定速巡航距离监视故障
P16B5	发动机控制模块(ECM)自检 - 序贯机械变速箱监视故障
P16B6	发动机控制模块(ECM)自检 - 电子节气门控制监视故障
P16B7	发动机控制模块(ECM)自检 - 液力变矩器离合器监视故障
P16B8	发动机控制模块(ECM)自检 - 液力变矩器离合器监视故障
P16B9	发动机控制模块(ECM)自检 - 扭矩丢失监视故障
P16C0	发动机控制模块(ECM)自检 - 电子稳定系统监视故障
P16C1	发动机控制模块(ECM)自检 - 扭矩监视故障
P16C2	发动机控制模块(ECM)自检 - 发动机速度限制监视故障
P16C3	发动机控制模块(ECM)自检 - 发动机速度限制复位
P16C5	发动机控制继电器 - 电路故障
P1705	变速器控制模块LED输出 - 电路开路
P1706	变速器控制模块LED输出 - 电路短路
P1739	离合器电磁阀 - 通信错误
P1741	离合器电磁阀 - 电路开路
P1742	电磁离合器 - 电路短路
P1749	二级压力电磁阀 - 通信错误
P1751	二级压力电磁阀 - 电路开路
P1752	二级压力电磁阀 - 电路短路
P1785	变速器速比控制执行器 - 电路故障
P1786	变速器速比控制执行器 - 电路范围/性能
P1787	变速器速比控制执行器 - 电路开路
P1788	变速器速比控制执行器 - 电路短路
P1789	变速器速比控制执行器通信错误
