P1009|轮轴位置传感器(进气/左/前) - 电路故障/正时过前/系统性能 (第1排)
P1638|电机控制模块 - 内部电路故障
P1639|电机控制模块 - 信号电路故障
P1640|电机转矩信号电路 - 低输入
P1641|电机转矩信号电路 - 高输入
P1642|电池信号电路 - 低输入
P1643|电池信号电路 - 高输入
P1644|电机控制模块 - 信号故障
P1645|电机控制模块 - 信号故障
P1646|电机控制模块 - 信号故障
P1649|防抱死刹车(ABS)控制模块 - 电路故障
P1655|自动变速器到发动机控制模块(ECM)信号 - 故障
P1656|电子稳定系统控制模块 - 通讯故障
P1658|电子节气门系统控制继电器 - 开启故障
P1659|电子节气门系统控制继电器 - 关闭故障
P1660|自动档变速器到发动机控制模块(ECM) - 数据线故障
P1671|自动档变速器到发动机控制模块(ECM)信号 - 没有信号
P1672|自动档变速器到发动机控制模块(ECM)信号 - 信号失败
P1673|电机控制模块(ECM) - 继电器卡在开启状态
P1676|防抱死刹车系统(ABS)/驱动防滑/牵引力控制系统(TCS)控制模块 - 通讯故障
P1678|防抱死刹车系统(ABS)/驱动防滑/牵引力控制系统(TCS)控制模块 - 通讯故障
P1681|自动档变速器到发动机控制模块(ECM)信号A - 低输入
P1682|自动档变速器到发动机控制模块(ECM)信号A - 高输入
P1683|节气门电机 - 默认位置弹簧性能问题
P1684|节气门电机 - 返回弹簧性能问题
P1686|自动档变速器到发动机控制模块(ECM)信号B - 低输入
P1687|自动档变速器到发动机控制模块(ECM)信号B - 高输入
P16B3|电源命令信号电路低输入
P16B4|电源命令信号电路高输入
P16B5|发动机扭矩信号电路低输入
P16B6|发动机扭矩信号电路高输入
P16B7|模式信号电路1低输入
P16B8|模式信号电路1高输入
P16B9|模式信号电路2
P16BA|电池单元 - 高输入
P16BB|发电机系统 - 低电压
P16BC|发电机系统 - 低电压
P16BD|启动电机继电器2故障
P16BE|启动电机继电器1故障
P16BF|启动电机继电器1/2故障
P16C0|发动机控制模块(ECM) - 故障
P16C1|电机控制模块(ECM) - 未安装电机控制程序
P16C2|电机控制模块(ECM) - 未安装电池状态监视模块程序
P16C3|直流到直流转换器温度传感器 - 电路故障
P16C4|发动机悬置控制执行器 - 发动机悬置控制电源电路 - 卡在关的位置
P16C5|发动机悬置控制执行器 - 发动机悬置控制电源电路 - 卡在开的位置
P16C6|发动机悬置控制执行器 - 在自检时高压
P16C7|后发动机悬置执行器控制电路故障
P16C8|前发动机悬置执行器控制电路故障
P16C9|发动机悬置控制模块 - 内部电路故障
P16D5|CAN数据总线
P16D6|集成电机辅助控制器局域网(CAN)故障
P16D7|发动机控制模块(ECM) - CAN数据总线 - 通信电路故障
P16D8|发动机控制模块(ECM) - 内部集成电机辅助CAN网络 - 通信电路故障
P16D9|发动机控制模块(ECM) - 内部电路故障
P16DA|刹车助力器真空泵继电器1 - 卡在关的位置
P16DB|刹车助力器真空泵继电器1/2 - 电路故障
P16DC|刹车助力器真空泵继电器2 - 卡在开的位置
P16DD|刹车助力器真空泵继电器1 - 卡在开的位置
P16E1|启动电机继电器1 - 电路故障
P1705|自动变速器 - 换档故障
P1705|自动变速器 - 锁定离合器不结合
P1706|自动变速器 - 换档故障
P1706|自动变速器 - 锁定离合器故障
P1709|自动变速器 - 档位位置开关
P1710|自动变速器 - 1档锁定开关
P1713|自动变速器
P1717|自动变速器 -档位开关故障
P1730|自动变速器 - 换档故障
P1731|自动变速器 - 换档故障
P1732|自动变速器 - 换档故障
P1733|自动变速器 - 换档故障
P1734|自动变速器 - 换档故障
P1735|自动变速器 - 换档故障
P1736|自动变速器 - 换档故障
P1738|自动变速器 - 第2离合器压力开关
P1739|自动变速器 - 第3离合器压力开关
P1740|自动变速器 - 第4离合器压力开关
P1743|自动变速器 - 换档故障
P1744|自动变速器 - 换档故障
P1745|自动变速器 - 换档故障
P1746|自动变速器 - 换档故障
P1747|自动变速器 - 换档故障
P1750|自动变速器 - 液压系统机械故障
P1751|自动变速器 - 液压系统机械故障
P1753|自动变速器 - 锁定离合器不结合/分离
P1758|自动变速器 - 锁定离合器不结合/分离
P1768|自动变速器 - 弱/无换档
P1768|自动变速器 - 锁定离合器不结合/分离
P1773|换档电磁阀B
P1778|换档电磁阀C
P1780|自动变速器 - 换档故障
P1786|自动变速器 - 换档太弱
P1787|自动变速器 - 锁定离合器故障
P1788|自动变速器 - 换档太弱
P1790|自动变速器 - 锁定离合器不结合
P1791|自动变速器 - 锁定离合器不结合
P1792|自动变速器 - 锁定离合器不从事
P1793|自动变速器
P1794|自动变速箱 - 气压信号
P1795|自动变速器
P1860|抑制电磁阀 - 电路电压低
P1861|抑制电磁阀 - 电路电压高
P1870|无极变速器(CVT) - 加速太弱
P1873|无极变速器(CVT) - 加速太弱
P1876|无极变速器(CVT) - 加速太弱
P1877|无极变速器(CVT) - 加速太弱
P1878|无极变速器(CVT) - 加速太弱
P1879|无极变速器(CVT) - 加速太弱
P1880|无极变速器(CVT) - 加速太弱
P1881|无极变速器(CVT) - 加速太弱
P1882|无极变速器(CVT)
P1885|无极变速器(CVT) - 加速太弱
P1886|无极变速器(CVT) - 加速太弱
P1888|无极变速器(CVT) - 加速太弱
P1889|无极变速器(CVT) - 加速太弱
P1890|无极变速器(CVT) - 加速太弱
P1891|无极变速器(CVT) - 加速太弱
P1892|无极变速器(CVT) - 加速太弱
P1893|无极变速器(CVT) - 加速太弱
P1894|无极变速器(CVT) - 加速太弱
P1895|无极变速器(CVT) - 加速太弱
P1896|无极变速器(CVT) - 加速太弱
P1897|无极变速器(CVT) - 加速太弱
P1898|无极变速器(CVT) - 加速太弱
P1899|无极变速器(CVT) - 加速太弱
