P1000|可变气门正时(VVT)控制电路 - 适应值太高
P1243|节气门位置传感器B /加速踏板位置传感器B - 电路故障
P1244|燃油泵 - 紧急切断
P1247|气压 - 信号故障
P1270|发动机转矩差, 第1至2排 - 故障
P1298|氮氧化物传感器 - 通信错误(第1排)
P1299|氮氧化物传感器 - 通信错误(第2排)
P129B|歧管绝对压力(MAP)传感器, 电机运转诊断 - 范围/性能
P1300|凸轮轴位置传感器 - 正时误差(第1排, 传感器A)
P1301|点火系统故障诊断监控 - 持续时间太短(气缸1)
P1302|点火系统故障诊断监控 - 持续时间太短(气缸2)
P1303|点火系统故障诊断监控 - 持续时间太短(气缸3)
P1304|点火系统故障诊断监控 - 持续时间太短(气缸4)
P1305|点火系统故障诊断监控 - 持续时间太短(气缸5)
P1306|点火系统故障诊断监控 - 持续时间太短(气缸6)
P130A|凸轮轴位置传感器 - 正时误差(第1排, 传感器B)
P1314|燃油混合 - 低燃油偏差
P1315|凸轮轴位置传感器 - 信号故障(第1排, 传感器A)
P1316|凸轮轴位置传感器 - 信号故障(第1排, 传感器A)
P1317|B凸轮轴位置执行器 - 范围/性能
P1318|凸轮轴位置传感器 - 信号故障(第1排, 传感器B)
P1319|凸轮轴位置传感器 - 信号故障(第1排, 传感器B)
P1326|凸轮轴位置传感器 - 正时参考超出范围(第1排, 传感器A)
P1327|爆震传感器 - 低输入(第1排, 传感器2)
P1328|爆震传感器 - 高输入(第1排, 传感器2)
P1329|爆震传感器 - 低输入(传感器3)
P1330|爆震传感器 - 高输入(传感器3)
P1331|凸轮轴位置传感器 - 正时参考输出范围(第1排, 传感器B)
P1332|爆震传感器 - 低输入(传感器4)
P1333|爆震传感器 - 高输入(传感器4)
P1338|凸轮轴位置传感器 - 相位故障(第1排, 传感器A)
P1339|凸轮轴位置传感器 - 相位故障(第1排, 传感器B)
P1340|多个气缸失火 - 启动时
P1341|多个气缸失火 - 燃油切断
P1342|启动时失火 - 气缸1
P1343|气缸失火, 燃油切断 - 气缸1
P1344|启动时失火 - 气缸2
P1345|气缸失火, 燃油切断 - 气缸2
P1346|启动时失火 - 气缸3
P1347|气缸失火, 燃油切断 - 气缸3
P1348|启动时失火 - 气缸4
P1349|气缸失火, 燃油切断 - 气缸4
P1350|启动时失火 - 气缸5
P1351|气缸失火, 燃油切断 - 气缸5
P1352|启动时失火 - 气缸6
P1353|气缸失火, 燃油切断 - 气缸6
P1354|启动时失火 - 气缸7
P1355|气缸失火, 燃油切断 - 气缸7
P1356|启动时失火 - 气缸8
P1357|气缸失火, 燃油切断 - 气缸8
P135B|爆震传感器 - 范围/性能(第1排, 传感器2)
P135C|爆震传感器线路2 - 内部故障(第1排)
P1377|凸轮轴位置传感器 - 无信号
P1378|发动机控制模块(ECM)自检 - 爆震控制故障(第2排)
P1379|发动机控制模块(ECM)自检 - 爆震控制故障(第2排)
P1380|发动机控制模块(ECM)自检 - 爆震控制故障(第2排)
P1381|发动机控制模块(ECM)自检 - 爆震传感器故障(第1排)
P1382|发动机控制模块(ECM)自检 - 爆震传感器故障(第1排)
P1383|点火系统故障诊断显示器 - 电子故障
P1384|爆震传感器3 - 控制电路内部故障
P1386|发动机控制模块(ECM)自检 - 爆震传感器故障(第1排)
P1396|曲轴位置传感器 - 正时合理性
P1407|油位信号1 - 不正确的值
P1408|油位信号2 - 不正确的值
P1413|二次空气喷射, 泵继电器 - 信号低
P1414|二次空气喷射, 泵继电器 - 信号高
P1415|空气流量传感器 - 流量太低
P1417|节气门控制系统 - 不正确的空气流量
P1422|蒸发排放炭罐清除阀 - 不正确的流量
P1423|二次空气喷射系统 - 检测到流量不足(第1排)
P1424|空气流量传感器 - 流量过高
P1429|油箱泄漏诊断模块 - 加热器
P142E|燃油喷射切断 - 高压燃油系统的燃油压力过低
P142F|燃油喷射切断 - 低压燃油系统的燃油压力过低
P1430|油箱泄漏诊断模块 - 加热器输出太低
P1431|油箱泄漏诊断模块 - 加热器输出太高
P1432|二次空气喷射系统 - 检测到不正确的流量
P1434|油箱泄漏诊断模块
P143B|催化转换器温度传感器 - 错误程序
P143C|催化转换器温度传感器 - 相关性错误
P143E|催化转换器温度传感器 - 范围错误
P1444|油箱泄漏诊断模块 - 泵控制电路开路
P1445|油箱泄漏诊断模块 - 泵控制信号低
P1446|油箱泄漏诊断模块 - 泵控制信号高
P1447|油箱泄漏诊断模块 - 泵电流过高
P1448|油箱泄漏诊断模块 - 泵电流过低
P1449|油箱泄漏诊断模块 - 泵电流过高
P1450|油箱泄漏诊断模块 - 电磁阀控制电路开路
P1452|油箱泄漏诊断模块 - 电磁阀控制信号高
P1453|二次空气喷射系统 - 电子故障(第1排)
P1470|蒸发排放(EVAP)炭罐清除阀 - 发动机控制模块(ECM)输出阶段
P1475|泄漏诊断泵磁簧开关没有关闭
P1476|泄漏诊断泵 - 管路夹住
P1477|泄漏诊断泵磁簧开关没有打开
P14C0|电风扇自检故障
P14C1|散热器通风自检故障
P14C2|歧管差压开关, 执行器1 - 机械故障
P14C3|歧管差压开关, 执行器2 - 机械故障
P14C4|散热器通风, 下 - 电子故障
P14C5|散热器通风, 上 - 电子故障
P14C6|散热器通风 - 电子故障
P1500|怠速控制执行器 - 卡在开启
P1501|怠速控制执行器 - 卡住在关闭
P1502|怠速控制执行器关闭电磁阀 - 信号高
P1503|怠速控制执行器关闭电磁阀 - 信号低
P1504|怠速控制执行器关闭电磁阀 - 开路
P1506|怠速控制执行器开启电磁阀 - 信号高
P1507|怠速控制执行器开启电磁阀 - 信号低
P1508|怠速控制执行器开启电磁阀 - 开路
P1509|怠速控制执行器 - 开启故障
P150A|电池温度传感器电路 - 电子故障
P150B|电池温度传感器电路
P150C|电池温度传感器电路
P150D|电池温度传感器电路 - 温度错误
P150E|电池温度传感器电路 - 电压错误
P150F|电池温度传感器电路 - 电流错误
P1510|怠速控制阀 - 卡住
P1511|歧管差压电路 - 电子故障
P1512|歧管差压电路 - 信号低
P1513|歧管差压电路 - 信号高
P1515|发动机熄火定时器 - 难以置信信号
P1519|进气凸轮轴控制系统 - 故障
P151A|电池温度传感器电路 - 电子故障
P151B|电池温度传感器电路 - 电子故障
P151C|电池温度传感器电路
P151F|CAN数据总线, 车速传感器(VSS) - 超时
P1520|排气凸轮轴控制系统, 结束位置 - 合理性
P1521|进气歧管空气控制电磁阀2 - 电器故障
P1522|进气凸轮轴控制系统 - 故障
P1523|A凸轮轴位置执行器 - 信号低(第1排)
P1524|A凸轮轴位置执行器 - 信号高(第1排)
P1525|A凸轮轴位置执行器 - 开路(第1排)
P1526|A凸轮轴位置执行器 - 开路(第2排)
P1527|A凸轮轴位置执行器 - 信号低(第2排)
P1528|A凸轮轴位置执行器 - 信号高(第2排)
P1529|B凸轮轴位置执行器 - 信号低(第1排)
P152A|车速传感器(VSS) - 相对于参考值, 速度过低
P152B|车速传感器(VSS) - 相对于参考值, 速度过低
P152C|怠速空气控制执行器1 - 目标位置故障
P152D|怠速空气控制执行器1 - 目标位置故障
P152E|怠速空气控制执行器1 - 超时, 超出最高位置
P152F|怠速空气控制执行器1 - 超时, 超出最高为只
P1530|B凸轮轴位置执行器 - 信号高(第1排)
P1531|B凸轮轴位置执行器 - 电路开路(第1排)
P1532|B凸轮轴位置执行器 - 电路开路(第2排)
P153B|节气门执行器1,2 - 无通讯
P153C|怠速空气控制执行器2 - 目标位置故障
P153D|怠速空气控制执行器2 - 目标位置故障
P153E|怠速空气控制执行器2 - 超时, 超出最高位置
P153F|怠速空气控制执行器2 - 超时, 超出最高位置
P1540|电子稳定系统(ESP)控制开关 - 输入太高
P1541|电子稳定系统(ESP)控制开关 - 输入过低
P1546|CAN数据总线 - 通信故障
P1547|CAN数据总线 - 通信故障
P1548|怠速控制系统 - 故障
P1549|怠速控制系统 - 转速低于预期
P154B|怠速空气控制执行器, 1,2 - 无通讯
P154C|节气门阀执行器1 - 目标位置超时
P154E|节气门阀执行器1 - 位置错误
P154F|节气门阀执行器1 - 跛行回家模式启动
P1550|怠速控制执行器 - 关闭故障
P1551|发动机熄火定时器 - 超时
P1552|A凸轮轴位置执行器 - 电路开路(第1排)
P1553|发动机位置系统B, 第1排 - 性能
P1554|发动机位置系统A, 第1排 - 性能
P1556|空调压缩机 - 信号低
P155A|定速巡航信号 - 界面故障
P155C|节气门阀执行器2 - 目标位置超时
P155E|节气门阀执行器2 - 位置错误
P155F|节气门阀执行器2 - 跛行回家模式启动
P1560|B凸轮轴位置执行器 - 电路开路(第1排)
P1561|冷启动怠速空气控制系统 - 转速高于预期
P1562|冷启动怠速空气控制系统 - 转速低于预期
P1563|定速巡航开关 - 缺陷
P1564|发动机控制模块(ECM) - 难以置信信号
P1565|多功能方向盘 - 界面故障
P1569|A凸轮轴位置执行器 - 电路开路(第2排)
P156D|节气门阀执行器1 - 短路到接地
P156E|节气门阀执行器1 - 短路到正极
P156F|节气门阀执行器1 - 电路开路
P1573|凸轮轴位置执行器 - 信号低(第2排)
P1576|定速巡航信号 - 界面故障
P1577|车速传感器(VSS)信号
P1578|车速传感器(VSS)信号
P157D|节气门阀执行器2 - 短路到接地
P157E|节气门阀执行器2 - 短路到正极
P157F|节气门阀执行器2 - 电路开路
P1581|B凸轮轴位置执行器 - 电路开路(第2排)
P1582|油泵电路 - 高电压
P1583|油泵电路 - 低电压
P1584|油泵电路 - 电路开路
P1585|随机/多个气缸 - 检测到失火
P1586|油质传感器 - 温度错误
P1587|油质传感器 - 温度错误
P1588|油质传感器 - 缺陷的传感器
P1589|爆震传感器 - 电路故障
P158A|怠速空气控制执行器1 - 跛行回家模式启动
P158B|怠速空气控制执行器1 - 随机存取存储器(RAM)错误
P158C|怠速空气控制执行器1 - 自检故障
P158D|怠速空气控制执行器1 - ROM(只读存储器)错误
P158E|冷启动怠速空气控制系统 - 转速高于预期(第1排)
P158F|冷启动怠速空气控制系统 - 转速低于预期(第2排)
P1593|进气歧管空气控制电磁阀 - 发动机控制模块(ECM)输出阶段
P1594|B凸轮轴位置执行器 - 电路开路(第2排)
P1595|CAN数据总线 - 通信故障
P1596|CAN数据总线 - 通信故障
P159A|怠速空气控制执行器2 - 跛行回家模式启动
P159B|怠速空气控制执行器2 - 随机存取存储器(RAM)错误
P159C|怠速空气控制执行器2 - 自检故障
P159D|怠速空气控制执行器2 - ROM(只读存储器)错误
P15A1|机油压力 - 机械控制电磁阀扦插启用
P15A2|机油压力 - 机械控制电磁阀扦插停用
P15A3|机油压力 - 太高
P15A6|机油压力 - 启动以前太高
P15A7|机油压力 - 启动以前太低
P15A9|交通模式当前有效
P15AA|涡轮增压器 - 泄漏/气密性
P1602|发动机控制模块(ECM)自检 - 系统错误
P1603|发动机控制模块(ECM)自检 - 扭矩检视
P1604|发动机控制模块(ECM) - 随机存取存储器(RAM)读/写错误
P1606|发动机控制模块(ECM)自检 - 错误程序
P160A|充电系统 - 电池被放电
P160C|充电系统 - 电压低
P160D|充电系统 - 电压高
P160E|充电系统 - 电池被放电/断开
P160F|充电系统 - 电池被放电
P1611|变速器控制模块 - 通信故障
P1612|串行通信错误
P1614|定速巡航 - 无信号
P1618|发动机控制模块(ECM)自检 - 电子故障
P1619|电子冷却液恒温器控制电路 - 信号低
P161D|节气门阀, 适应失败 - 弹簧测试失败(第2排)
P161E|节气门阀, 适应失败 - 弹簧测试失败(第2排)
P161F|节气门阀执行器2 - 位置自检故障
P1620|电子冷却液恒温器控制电路 - 信号高
P1622|发动机冷却液温度传感器, 发动机控制模块(ECM)控制的冷却系统 - ECM的输出阶段
P1623|加速踏板位置传感器 - 电路故障
P1624|加速踏板位置传感器1 - 电路故障
P1625|加速踏板位置传感器2 - 电路分析故障
P1628|节气门阀执行器 - 弹簧测试故障(第1排)
P1629|节气门阀执行器 - 弹簧测试故障(第1排)
P162B|节气门位置控制 - 控制偏差(第2排)
P162C|节气门位置控制 - 节气门暂时卡住(第2排)
P162D|节气门位置控制 - 机器们永久卡住(第2排)
P1630|节气门阀执行器1 - 随机存取存储器(RAM) / 只读存取器(ROM)错误
P1631|节气门阀执行器 - 回位弹簧测试故障(第1排)
P1632|节气门阀 - 适应失败
P1633|节气门阀适应 - 跛行回家位置不正确
P1634|节气门阀适应 - 回位弹簧测试失败(第1排)
P1635|节气门阀适应 - 机械停止没有适应(第1排)
P1636|节气门阀控制电路 - 电路故障(第1排)
P1637|节气门位置控制 - 控制偏差(第1排)
P1638|节气门位置控制 - 节气门暂时卡住(第1排)
P1639|节气门位置控制 - 节气门永久卡住(第1排)
P163C|发动机控制模块 - 不正确电压
P163D|发动机控制模块 - 不正确电压
P163E|发动机控制模块 - 通信错误
P1640|发动机控制模块 - 随机存取存储器(RAM) / 只读存取器(ROM)故障
P1641|节气门阀适应 - 中止
P1642|节气门阀适应 - 中止
P1643|节气门阀适应 - 适应失败
P1644|节气门阀适应 - 机械停止没有适应(第1排)
P1645|发动机控制模块 - 随机存取存储器(RAM) 故障
P1649|发动机控制模块 - 只读存取器(ROM)故障
P164A|爆震传感器 - 超时
P164C|加速踏板位置传感器, 电源电压1 - 电子故障
P164E|节气门体加热器 - 卡在关闭
P164F|节气门体加热器 - 卡在开启
P1653|变速器扭矩 - 信号不正确
P1654|CAN数据总线信号 - 超时
P165F|发动机控制模块(ECM) - 内部故障
P1663|防盗控制模块 - 不正确的编程
P166A|定速巡航模块自检 - 内部故障
P166B|定速巡航信号 - 故障
P166C|定速巡航信号 - 难以置信信号
P166F|发动机控制模块(ECM) - 内部故障
P1670|变速器干预 - 错误的信号
P1675|节气门阀执行器, 启动测试 - 自适应学习没有完成
P1676|定速巡航 - 难以置信信号
P1677|定速巡航 - 无信号
P1678|定速巡航 - 无响应
P167B|节气门体加热电路 - 继电器电路输入高
P167C|节气门体加热电路 - 继电器电路输入低
P167D|节气门体加热电路 - 继电器电路故障
P1680|节气门位置控制电路 - 内部故障
P1681|发动机控制模块(ECM)自检 - 难以置信的发动机转速
P1681|节气门位置控制电路 - 速度比错误
P1686|节气门位置控制电路 - 故障
P1688|发动机控制模块(ECM)自检 - 难以置信发动机负荷
P1689|发动机控制模块(ECM)自检 - 难以置信扭矩请求
P1690|故障指示灯(MIL)的 - 电路故障
P1691|燃油切断 - 转速超过最大限制
P1694|节气门阀执行器, 启动测试 - 弹簧测试和跛行回家位置失败
P169A|节气门阀适应 - 跛行回家位置失败
P16A0|发动机控制模块(ECM) - 内部故障
P16A1|发动机控制模块(ECM) - 内部故障
P16A2|发动机控制模块(ECM) - 内部故障
P16A3|发动机控制模块(ECM) - 内部故障
P16A4|超时控制模块 - 爆震传感器总线
P16A5|超时控制模块 - 输出总线
P16A6|发动机控制模块(ECM)自检 - 定速巡航监视故障
P16A7|发动机控制模块(ECM)自检 - 空气流量传感器监视故障
P16A8|发动机控制模块(ECM)自检 - 节气门位置监视故障
P16A9|发动机控制模块(ECM)自检 - 速度监视复位
